area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,17-Dec,Kadugodi,2 BHK,Alestrb,1314,2.0,2.0,78.0
Super built-up  Area,19-Dec,Jalahalli,1 BHK,Vaniai ,610 - 615,1.0,0.0,27.565
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,71.03
Built-up  Area,Ready To Move,Nagasandra,8 Bedroom,,4000,8.0,3.0,160.0
Plot  Area,Ready To Move,Singapura Village,4 Bedroom,,2230,4.0,1.0,130.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1295,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0
Plot  Area,Ready To Move,Dodda Nekkundi,3 Bedroom,FetatHa,2400,4.0,2.0,300.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2980,4.0,2.0,260.0
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,Prowshi,5500,4.0,,600.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4.0,2.0,165.0
Plot  Area,Ready To Move,Hosahalli Extension,9 Bedroom,,750,6.0,3.0,112.0
Super built-up  Area,Ready To Move,Hanumantha Nagar,8 BHK,,3300,8.0,3.0,310.0
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1699,3.0,3.0,81.94
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1162,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,67.15
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Laiteya,1340,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Sulla S,1050,2.0,2.0,50.0
Super built-up  Area,19-Jan,Mysore Road,3 BHK,PrntaEn,1248.52,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,140.0
Plot  Area,Ready To Move,Sarakki Nagar,6 Bedroom,,880,6.0,2.0,75.0
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,2493,3.0,,115.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,924,2.0,2.0,35.11
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,NatisAt,1053,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1093,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1383,2.0,2.0,76.18
Plot  Area,Ready To Move,Electronic City,4 Bedroom,,2000,4.0,0.0,120.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,51.1
Super built-up  Area,18-Aug,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,914,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1210,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1760,3.0,2.0,139.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,,1575,3.0,2.0,66.39
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,400,1.0,1.0,10.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,56.34
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1595,3.0,1.0,105.0
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381,1.0,0.0,28.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1025,2.0,2.0,45.5
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,1375,2.0,1.0,60.0
Plot  Area,Ready To Move,MS Pallya,8 Bedroom,,2400,9.0,3.0,350.0
Built-up  Area,18-Dec,Kudlu Gate,2 BHK,,1336,2.0,1.0,86.0
Super built-up  Area,20-Dec,Hebbal,4 BHK,Cehosy ,4235,5.0,3.0,364.0
Built-up  Area,Ready To Move,Lingarajapuram,1 BHK,,450,1.0,2.0,60.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3785,6.0,,280.0
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1901,3.0,2.0,119.0
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,960,2.0,3.0,37.0
Built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1090,2.0,1.0,36.0
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,810,2.0,1.0,25.5
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1400,2.0,2.0,40.43
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1453,2.0,1.0,46.48
Super built-up  Area,Ready To Move,Abbigere,1 BHK,,765,2.0,2.0,30.0
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1083,2.0,1.0,48.0
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.5
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,820,2.0,1.0,30.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,2465,5.0,2.0,234.0
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,,1300,2.0,0.0,120.0
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Suensda,1600,3.0,2.0,76.0
Plot  Area,Ready To Move,Mylasandra,1 Bedroom,,500,2.0,0.0,80.0
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,4.0,3.0,600.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2.0,0.0,165.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0
Built-up  Area,Ready To Move,Gnana Bharathi,9 Bedroom,,3200,8.0,1.0,130.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,2.0,75.0
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Varala ,935,2.0,1.0,51.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1270 - 1275,2.0,0.0,40.72
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764,1.0,1.0,32.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,76.0
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,900,4.0,0.0,140.0
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,,1210,4.0,2.0,160.0
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1900,3.0,1.0,99.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,72.0
Super built-up  Area,18-Nov,Govindpura,3 BHK,,1639,3.0,1.0,77.89
Plot  Area,Ready To Move,RMV 2nd Stage,2 Bedroom,,1200,2.0,1.0,216.0
Built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MCrds S,1200,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,,581,1.0,1.0,29.0
Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250,2.0,1.0,50.0
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4 Bedroom,,5000,5.0,,600.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,3.0,2.0,62.71
Super built-up  Area,18-Mar,Kathriguppe,3 BHK,,1650,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,,1720,3.0,3.0,78.0
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,,1200,6.0,2.0,195.0
Super built-up  Area,18-Feb,Whitefield,4 BHK,BrlisCo,3410,5.0,3.0,253.0
Plot  Area,18-Apr,Maruthi nagar kogilu,2 Bedroom,,1200,3.0,0.0,78.0
Built-up  Area,Ready To Move,Electronic City,1 BHK,,550,1.0,1.0,12.0
Super built-up  Area,Ready To Move,cooketown,3 BHK,,1900,3.0,2.0,190.0
Built-up  Area,Ready To Move,Doddanakunte,5 Bedroom,,2700,5.0,2.0,150.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1836,3.0,2.0,148.0
Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2.0,2.0,65.0
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274,2.0,1.0,90.0
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1235 - 1410,3.0,0.0,40.985
Super built-up  Area,19-Dec,Varthur Road,2 BHK,Aseenh ,770 - 841,2.0,0.0,19.33
Super built-up  Area,Ready To Move,Bannerghatta,3 BHK,,1665,3.0,3.0,110.0
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,3405.1,6.0,3.0,400.0
Super built-up  Area,18-Aug,Whitefield,2 BHK,,1314,2.0,1.0,84.0
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1357,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1154,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Reverve,1115,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Pillanna Gardens,2 BHK,,550,1.0,1.0,20.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0
Plot  Area,Ready To Move,Kamakya Layout,6 Bedroom,,2750,6.0,3.0,200.0
Plot  Area,17-Dec,HAL 2nd Stage,2 Bedroom,,600,3.0,2.0,145.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Srnumum,1000,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,1.0,2.0,51.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455,3.0,2.0,73.31
Carpet  Area,Ready To Move,Anantapura,3 BHK,Grare S,1600,3.0,2.0,77.0
Super built-up  Area,21-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3.0,1.0,85.73
Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,933,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Doddabanahalli,3 BHK,,1500,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,5924,4.0,3.0,625.0
Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,110.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1116,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1640,3.0,3.0,84.0
Built-up  Area,Ready To Move,Sarjapur  Road,5 Bedroom,Reyle L,3200,5.0,3.0,140.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,2780,4.0,1.0,325.0
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1070,2.0,2.0,46.0
Plot  Area,Ready To Move,7th Block Jayanagar,3 Bedroom,,2400,3.0,0.0,408.0
Plot  Area,Ready To Move,Kamala Nagar,3 Bedroom,,2800,3.0,1.0,400.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,220.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,AHodsWo,1015,2.0,3.0,56.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Thiced ,1740,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Kaamai ,686,1.0,1.0,62.5
Super built-up  Area,20-Aug,Whitefield,2 BHK,Bhath N,850 - 1060,2.0,0.0,38.19
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1260,2.0,3.0,75.0
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1200,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1013,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2.0,1.0,75.0
Super built-up  Area,20-Dec,Akshayanagara East,1 BHK,,595,1.0,1.0,40.0
Plot  Area,Ready To Move,Ramesh Nagar,2 Bedroom,,1400,2.0,2.0,160.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,DSeldpr,1052,2.0,1.0,34.72
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1095,2.0,1.0,85.41
Super built-up  Area,21-Nov,Thanisandra,3 BHK,Bhe 2ko,1732,3.0,3.0,85.73
Super built-up  Area,Ready To Move,Anjanapura,2 BHK,,710,2.0,0.0,25.0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,Skarkev,1720,2.0,2.0,126.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,88.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920,2.0,1.0,63.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Jnana Ganga Nagar,2 BHK,SLestde,1230,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Camesa ,1150,2.0,3.0,72.2
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shiew T,1070,2.0,2.0,37.45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3.0,2.0,64.0
Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,Sowerew,3124,6.0,3.0,349.0
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,2 BHK,Pantsce,1250,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1789,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1570,3.0,3.0,80.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,875,2.0,2.0,40.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,35.23
Plot  Area,18-Feb,Electronic City,9 Bedroom,,1200,13.0,,150.0
Plot  Area,Ready To Move,Madanayakahalli,2 Bedroom,,1200,2.0,1.0,34.0
Plot  Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall,4 Bedroom,,600,4.0,2.0,87.0
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,360.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,3.0,3.0,76.0
Super built-up  Area,19-Dec,Varthur Road,3 BHK,,1033,2.0,2.0,30.47
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,Vaidsi ,3260,4.0,1.0,240.0
Built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1110,2.0,0.0,65.0
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,,1235,2.0,2.0,148.0
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2663,4.0,1.0,338.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2.0,1.0,76.0
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,,2500,5.0,2.0,350.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,Beesta ,900,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1120,2.0,2.0,39.2
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Prensya,697,1.0,1.0,35.0
Super built-up  Area,18-Aug,Kudlu Gate,1 BHK,Sanzaat,703,1.0,1.0,52.0
Super built-up  Area,18-Oct,Chennammanakere Achukattu,2 BHK,,1020,2.0,2.0,52.0
Built-up  Area,Ready To Move,Magadi Road,2 BHK,Jaaveha,600,1.0,1.0,22.0
Plot  Area,Ready To Move,Rajaji Nagar,8 Bedroom,,1200,10.0,2.0,180.0
Super built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1206,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1020,2.0,1.0,42.83
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,Kesomrn,1277,2.0,2.0,92.0
Plot  Area,Ready To Move,Harlur,4 Bedroom,,1200,4.0,,243.0
Built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,1340,2.0,2.0,48.33
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,1008,2.0,2.0,32.25
Built-up  Area,Ready To Move,Kumaraswami Layout,7 BHK,,2040,4.0,3.0,123.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2210,3.0,3.0,165.0
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1626,3.0,3.0,89.0
Plot  Area,Ready To Move,Kasthuri Nagar East Of NGEF,6 Bedroom,,2400,7.0,,460.0
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,S2ionrn,994,2.0,1.0,42.28
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,MJeusyl,1198,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,Veisear,1245,2.0,2.0,58.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,940,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,946,2.0,2.0,45.0
Super built-up  Area,18-Aug,JP Nagar,2 BHK,DSvvyx ,1133,2.0,1.0,33.99
Super built-up  Area,18-Jul,Rajaji Nagar,5 BHK,Phaku K,7514,7.0,,1500.0
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1200,2.0,0.0,75.0
Built-up  Area,Ready To Move,Vittal Nagar,2 BHK,Riave E,1000,2.0,1.0,50.0
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1398,2.0,1.0,97.0
Built-up  Area,Ready To Move,Banashankari Stage III,3 Bedroom,,1000,2.0,1.0,120.0
Super built-up  Area,18-Mar,Balagere,2 BHK,Soresea,1012,2.0,1.0,53.58
Super built-up  Area,18-May,Doddabanahalli,3 BHK,,1290,3.0,2.0,45.33
Super built-up  Area,Ready To Move,Vijaya Bank Colony,3 BHK,,1400,2.0,2.0,62.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,1035,2.0,1.0,39.33
Built-up  Area,Ready To Move,Hoodi,2 BHK,Adion M,1247,2.0,0.0,53.0
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3.0,3.0,425.0
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,URodsmb,1119,2.0,1.0,48.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,116.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2.0,1.0,102.0
Super built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,1420,3.0,3.0,70.0
Super built-up  Area,19-Jan,Battarahalli,3 BHK,PaontWa,2024,3.0,2.0,103.0
Super built-up  Area,18-May,Anugrah Layout,3 BHK,,1250,3.0,3.0,40.0
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,PrityFa,1366,3.0,1.0,76.85
Built-up  Area,Ready To Move,Domlur,3 BHK,Prandm ,1650,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,3.0,112.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1563,3.0,2.0,63.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1559,3.0,1.0,81.55
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2.0,2.0,49.2
Super built-up  Area,18-May,Battarahalli,2 BHK,,1090,2.0,2.0,38.37
Built-up  Area,Ready To Move,Hoodi,2 BHK,,1240,2.0,3.0,65.0
Plot  Area,18-Apr,Kaval Byrasandra,2 Bedroom,,935,2.0,0.0,78.0
Super built-up  Area,19-Aug,Hormavu,2 BHK,,1196,2.0,1.0,44.8
Built-up  Area,18-Jul,Huskur,3 BHK,,1310,2.0,1.0,37.83
Plot  Area,18-Mar,2nd Block Koramangala,7 Bedroom,,5400,5.0,,972.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Elentrk,1616,3.0,3.0,40.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1140,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2.0,2.0,50.79
Built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,Say 3 R,910,2.0,2.0,160.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1224,2.0,2.0,48.95
Built-up  Area,Ready To Move,Chikkasandra,2 BHK,,1070,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Kr 10Ca,1397,2.0,,52.0
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,,1500,4.0,,180.0
Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2650 - 2990,4.0,0.0,153.5
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1320,3.0,2.0,60.0
Super built-up  Area,18-Dec,Kanakpura Road,3 BHK,PrityFa,1591,3.0,1.0,120.0
Super built-up  Area,18-Dec,JP Nagar,5 BHK,Pehtsa ,4400 - 6640,,,375.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,BModsen,1241,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2266,3.0,2.0,169.0
Super built-up  Area,Ready To Move,Ashok Nagar,2 BHK,,703,2.0,1.0,60.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495,2.0,2.0,70.0
Super built-up  Area,18-Jan,Kadugodi,2 BHK,Prclee ,1030,2.0,1.0,35.02
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1160,2.0,1.0,49.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1100,2.0,1.0,55.0
Plot  Area,Ready To Move,Hennur Bande,6 Bedroom,,1200,6.0,3.0,180.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2.0,2.0,116.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1430,3.0,2.0,59.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,85.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1368,2.0,1.0,54.71
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,,1475,3.0,2.0,96.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1683,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1075,2.0,2.0,45.8
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1240,2.0,1.0,71.0
Super built-up  Area,18-Apr,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,180.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1340,2.0,2.0,64.31
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,93.0
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,,980,2.0,0.0,37.0
Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6.0,0.0,250.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,1200,5.0,,170.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,418,1.0,1.0,12.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030,2.0,2.0,42.0
Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,KHatsFl,1200,2.0,1.0,130.0
Super built-up  Area,18-Dec,Channasandra,2 BHK,MVisear,1050,2.0,1.0,44.41
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,237.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Kanakapura Main Road,2 BHK,,1080,2.0,1.0,37.8
Plot  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,,2400,6.0,2.0,408.0
Super built-up  Area,Ready To Move,Kengeri Hobli,3 BHK,,1082,2.0,0.0,42.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DNlleks,1200,2.0,3.0,70.0
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,,720,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2.0,1.0,67.4
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shitt S,755 - 770,1.0,0.0,45.4
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,,1430,2.0,1.0,78.65
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1563,2.0,2.0,52.0
Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1108,2.0,0.0,66.46
Super built-up  Area,Ready To Move,Gokaula Extension,3 BHK,,1500,2.0,1.0,90.0
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3.0,1.0,260.0
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,Amlisai,1458,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Vaw 1il,1090,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,1115,2.0,2.0,44.6
